"Item","Price1","Price2","Price3","Price4","Price5","Price6","Price 7","Price8"
"'Ancient gizmos' bluepri...",1100000,1100000,1200000,1200000,1200000,1300000,1300000,1300000
"'Ancient tools' blueprin...",829000,829000,865900,865900,865900,865900,865900,865900
"'XP Capacitor' blueprint...",663400,663400,663400,663400,647200,647200,647200,647200
"1/3 blue blubber jellyfi...",350,367,367,367,367,367,367,367
"1/3 evil turnip",31,31,31,31,31,31,31,31
"1/3 green blubber jellyf...",325,325,325,325,325,325,325,325
"2/3 bacon cheesecake",180,180,180,180,180,180,180,180
"2/3 blue blubber jellyfi...",893,893,893,893,893,893,893,893
"2/3 cake",885,885,885,885,885,885,885,885
"2/3 cheesecake",16,16,16,16,16,16,16,16
"2/3 chocolate cake",724,724,724,724,724,724,724,724
"2/3 chocolate cheesecake...",87,87,87,87,87,87,87,87
"2/3 evil turnip",126,126,126,126,126,126,126,126
"2/3 green blubber jellyf...",567,567,567,567,567,567,567,567
"2/3 lemon cheesecake",134,134,134,134,134,134,134,134
"2/3 strawberry cheesecak...",107,107,107,107,107,107,107,107
"2/3 vanilla cheesecake",54,54,54,54,54,54,54,54
"4-poster",909,909,909,909,909,909,909,909
"A mis-fortune from The M...",37,37,27,27,27,27,27,27
"Abomination cape",601500000,601500000,601500000,601500000,601500000,601500000,601500000,601500000
"Abyssal bane 2h sword",777300,777300,777300,777300,777300,777300,777300,777300
"Abyssal bane longsword",546900,546900,546900,546900,546900,546900,546900,546900
"Abyssal bane off hand lo...",610200,610200,610200,610200,610200,610200,610200,610200
"Abyssal bane square shie...",508400,508400,508400,508400,508400,508400,508400,508400
"Abyssal Block scroll",4078,4078,4078,4078,4078,4078,4078,4078
"Abyssal Drain scroll",494,494,494,494,494,494,494,494
"Abyssal lurker pouch",6225,6250,6250,6250,6250,6259,6259,6259
"Abyssal orb",378300,369400,367000,367000,367000,363500,363500,363500
"Abyssal parasite pouch",4240,4240,4240,4240,4240,4240,4240,4240
"Abyssal Stealth scroll",523,523,537,537,537,537,537,537
"Abyssal titan pouch",8384,8191,8191,8191,8106,8106,8106,8106
"Abyssal wand",190400,190400,188700,188700,192400,192400,192400,192400
"Abyssal whip",69200,68000,69900,69900,71100,71400,71400,71400
"Acadia incense sticks",1240,1240,1240,1240,1283,1283,1283,1283
"Acadia logs",498,498,477,477,456,445,445,445
"Accursed acadia incense ...",2167,2167,2167,2167,2167,2167,2167,2167
"Accursed ashes",1123,1123,1100,1100,1090,1101,1101,1101
"Accursed maple incense s...",1091,1091,1091,1091,1091,1091,1091,1091
"Accursed urn (nr)",1441,1441,1441,1441,1441,1441,1441,1441
"Achey tree logs",1025,1025,1035,1035,1035,1035,1035,1035
"Acne potion",893,893,865,865,865,865,865,865
"Acorn",258,258,250,250,246,243,243,243
"Acorn Missile scroll",242,242,242,242,242,242,242,242
"Adamant 2h crossbow",16800,16800,16800,16800,16800,16800,16800,16800
"Adamant 2h sword",24200,24800,25700,25700,26000,26100,26100,26100
"Adamant 2h sword + 1",35800,35800,35800,35800,35800,35800,35800,35800
"Adamant 2h sword + 2",65500,65500,65500,65500,65500,65700,65700,65700
"Adamant armour set (lg)",55200,55200,55200,55200,55200,54900,54900,54900
"Adamant armour set (sk)",46200,46200,46200,46200,46200,46200,46200,46200
"Adamant armour set + 1 (...",83000,83000,93700,93700,93700,93700,93700,93700
"Adamant armour set + 2 (...",200800,200800,200800,200800,200800,200800,200800,200800
"Adamant armoured boots",4194,4194,4194,4194,4194,4304,4304,4304
"Adamant armoured boots +...",11200,11200,11200,11200,11200,11100,11100,11100
"Adamant arrow",49,48,50,50,50,50,50,50
"Adamant arrowheads",101,101,99,99,99,98,98,98
"Adamant bar",1664,1733,1883,1883,1947,1901,1901,1901
"Adamant battleaxe",18700,18700,18700,18700,18700,18800,18800,18800
"Adamant battleaxe + 1",15800,15800,15800,15800,15800,15800,15800,15800
"Adamant battleaxe + 2",45900,45900,45900,45900,45900,45900,45900,45900
"Adamant berserker shield...",23700,23700,23700,23700,23700,23700,23700,23700
